X,Y,Id,Name,LayerID,LayerTextID,City,Street,Number,Order,Startdate,Enddate,PAE,category,Selected_Categories
-73.9372631,40.8085809,959512,786 Best Auto Center,12,tall,New york,E 130th St,73,1,2019-07-30,None,,taller mecànic,Mechanical workshop
-73.9456977,40.8111138,959521,Harlem Group,10,inmo,New york,W 129th St,156,1,2019-07-30,None,,gestió immobiliària,Real state agency
-73.9514671,40.8137224,959517,Deli,151,rapi,New york,W 129th St,407,1,2019-07-30,None,,menjar ràpid ,Fast food
-73.9515545,40.8243059,959527,Isabella,4,pelu,New york,W 142nd Street,558,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.943803,40.8210555,959531,Chanel,4,pelu,New york,W 142nd Street,300,2,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9444541,40.8116098,959507,Tours Unlimited,21,viat,New york,W 130th St,129,1,2019-07-30,None,,agència de viatges,Travel agencies
-73.945551,40.8137114,959473,T C & P's 97 Cent Store,116,basar,New york,W 132nd St,201,1,2019-07-30,None,,basar,Bazaar
-73.9425416,40.8124365,959476,Cuts & Styles Unisex,4,pelu,New york,W 132nd St,101,1,2019-07-30,None,,perruqueria,Hairdresser and beauty salon
-73.9372817,40.8100329,959480,Abc Drucs,16,farm,New york,E 132nd St,40,2,2019-07-30,None,,farmàcia i ortopèdia,Pharmacy
-73.9378048,40.8102359,959478,Twenty Stars Deli,43,come,New york,E 132nd St,20,1,2019-07-30,None,,comestibles,Supermarket
-73.9560021,40.817272,959485,Manhattan Aligmment & Diagnostic Center,12,tall,New york,W 131st Street,555,1,2019-07-30,None,,taller mecànic,Mechanical workshop
-73.9460098,40.8130737,959484,Deli Glosery,110,colma,New york,W 131st Street,201,1,2019-07-30,None,,queviures,Supermarket
-73.9583002,40.8200058,959456,Solomon & Kuff,2,rest,New york,W 133rd St,629,1,2019-07-30,None,,restaurant,Restaurants
-73.9552859,40.8186327,959458,Rdn Auto Body,12,tall,New york,W 133rd St,553,2,2019-07-30,None,,taller mecànic,Mechanical workshop
-73.9554098,40.8186907,959457,Intrepid Auto Repair Inc,12,tall,New york,W 133rd St,553,1,2019-07-30,None,,taller mecànic,Mechanical workshop
-73.9534781,40.8178492,959460,Delicious Deli,43,come,New york,W 133rd St,501,1,2019-07-30,None,,comestibles,Supermarket
-73.9550632,40.8185333,959459,Prestige Automotive,12,tall,New york,W 133rd St,547,1,2019-07-30,None,,taller mecànic,Mechanical workshop
-73.944062,40.813872,959464,Rejuneante,15,past,New york,W 133rd St,171,1,2019-07-30,None,,dolços i pastissos,Bakery
-73.9442202,40.8139329,959463,Creative Source Braiders,4,pelu,New york,W 133rd St,173,1,2019-07-30,None,,perruqueria,Hairdresser and beauty salon
-73.9546534,40.8197779,959591,Marena Unisex,4,pelu,New york,W 135th Street,534,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.940699,40.8150233,959590,Easy Corner,40,bar,New york,W 136th Street,107,1,2019-07-25,None,,bar de tapes ,Restaurants
-73.9547553,40.8198043,959592,Barber Shop,4,pelu,New york,W 135th Street,534,2,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9525908,40.8189213,959595,Henriquez Grocery Store,43,come,New york,W 135th Street,500,1,2019-07-25,None,,comestibles,Supermarket
-73.9527276,40.8189883,959597,Barber Shop Unisex,4,pelu,New york,W 135th Street,500,3,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9369321,40.8142654,959582,One Café West,151,rapi,New york,W 137th Street,1,1,2019-07-25,None,,menjar ràpid ,Fast food
-73.9370769,40.8143283,959580,Henrietta's,4,pelu,New york,W 137th Street,3,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9435929,40.816246,959586,Real State,10,inmo,New york,W 136th Street,201,1,2019-07-25,None,,gestió immobiliària,Real state agency
-73.9368972,40.8142471,959583,King Garden,151,rapi,New york,W 137th Street,1,2,2019-07-25,None,,menjar ràpid ,Fast food
-73.9408076,40.8150853,959589,Nails,30,salud,New york,W 136th Street,105,1,2019-07-25,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9359356,40.8171002,959552,Harlem Self Storage,12,tall,New york,W 14st Street,11,1,2019-07-25,None,,taller mecànic,Mechanical workshop
-73.9418799,40.818632,959558,Twisted,8,moda,New york,W 140th Street,198,2,2019-07-25,None,,roba i complements,Clothes shop
-73.9392147,40.8152987,959575,Harlem Community Pharmacy,16,farm,New york,W 137th Street,67,1,2019-07-25,None,,farmàcia i ortopèdia,Pharmacy
-73.9436582,40.8209804,959532,Juana,15,past,New york,W 142nd Street,300,1,2019-07-25,None,,dolços i pastissos,Bakery
-73.9380818,40.8188247,959537,Yd Printing,6,pape,New york,W 142nd Street,115,1,2019-07-25,None,,"papereria, llibreria i copisteria",Copy shop
-73.9381114,40.8186684,959536,Triple D',4,pelu,New york,W 142nd Street,100,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9379826,40.8187801,959539,American Market,110,colma,New york,W 142nd Street,115,3,2019-07-25,None,,queviures,Supermarket
-73.9448123,40.8208442,959547,Queen Sheeba,151,rapi,New york,W 14st Street,323,1,2019-07-25,None,,menjar ràpid ,Fast food
-73.9433667,40.8150239,959629,Mousthapha Barber Shop,4,pelu,New york,W 135th Street,182,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9433237,40.8153223,959628,Bravo,40,bar,New york,W 135th Street,189,1,2019-07-25,None,,bar de tapes ,Restaurants
